	gset	source	perc	type	value
80	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5819646900229191
81	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4388083479275289
82	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9439303538690188
83	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7899211305332937
84	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9161176196632068
85	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.350206526840577
86	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8640988660763936
87	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3884806404023394
88	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4837394200991239
89	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7498915049768038
90	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.613930051472266
91	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8883190977612269
92	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7128421009010321
93	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7120127262995981
94	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3889638252231269
95	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5650578932850752
96	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6880171527294806
97	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5442378067048188
98	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5947033458071366
99	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4969734012598705
100	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4860654808770603
101	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5274809463352411
102	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3417125304686311
103	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4788570009624476
104	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6481959355903465
105	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7480480221260536
106	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.821336326253689
107	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9352279164079152
108	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9500241018574236
109	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4046381005662148
110	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9239949331570242
111	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8892135199803508
112	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7783502054942459
113	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9641504730837956
114	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9759010791975448
115	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2896272150343558
116	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2896272150343558
117	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9145052100253154
118	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9060399558046792
119	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8838056333302098
120	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2713609913347785
121	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.793803435844268
122	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4126307231882993
123	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5953451119523178
124	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6247047968510847
125	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.472123699748333
126	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3945135088495389
127	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2755651015327073
128	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3769425981815508
129	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8229285771703156
130	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3452720075331301
131	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8462479866093704
132	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8559377117350955
133	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9334938725055172
134	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7258449013878496
135	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.638057498210428
136	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6962173960219928
137	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.552136930499378
138	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8892135199803508
139	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9085905828994736
140	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.736457288894256
141	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6337535370805615
142	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6069759860175878
143	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8858065688060096
144	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.47648586709991
145	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3452720075331301
146	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6694878753536108
147	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6196454227222952
148	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.270601231651499
149	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4698980526095215
150	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8152537378276078
151	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9001623769089657
152	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8086721939148448
153	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8633526667514164
154	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.540015810844608
155	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4547120840277565
156	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5110716230730861
157	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8078850373894095
158	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.886643551335382
159	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.537613074394442
160	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7968806048432505
161	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4547120840277565
162	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.730985773728444
163	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.672816908674427
164	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7334488886625611
165	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8285228864651726
166	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.89672850036669
167	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2634541220709633
168	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6529637325411677
169	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8134058728262306
170	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9001623769089657
171	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6442382193284755
172	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8899967537825451
173	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8205409715708213
174	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2424171818172419
175	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9685840213657452
176	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6715727841966495
177	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4192016902338621
178	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5576500915831162
179	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5687862691597242
180	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8269182045841242
181	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6969302465427958
182	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6543302414792745
183	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4382847103361048
184	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5052781872218498
185	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7376310584470004
186	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6306902174920138
187	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9257171972680904
188	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5685006779041707
189	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5619633881672645
190	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2498994067327983
191	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.734049256072336
192	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9873533576498612
193	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.930896827674276
194	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.840640466775152
195	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	1.0
196	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8478722625323963
197	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6820622786027665
198	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.672282361367327
199	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8693464157483696
200	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6293568348102868
201	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	1.0
202	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9094418544708492
203	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.234050705343198
204	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7458076135672966
205	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7170881543964754
206	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.350206526840577
207	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5876743321531865
208	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.980174809494854
209	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2527897810319761
210	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4382847103361048
211	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8830366609545582
212	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7578083123053769
213	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8134058728262306
214	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4517215131645531
215	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2725032952276827
216	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3597570948165683
217	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7368907128430754
218	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.1932685013657665
219	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4976882993540512
220	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6280253327808313
221	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8596345294642943
222	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6069759860175878
223	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5192330701817306
224	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6144036411028301
225	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4967111517587072
226	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8942001320258319
227	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7243805207241137
228	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6337535370805615
229	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8180235669621531
230	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8858065688060096
231	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6690869396072311
232	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2146312653997375
233	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.393817727463265
234	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4885004417957397
235	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3004821007996126
236	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.263854107094312
237	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6043783747731238
238	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3515604165565956
239	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.710567015622161
240	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5041445423704323
241	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8104365504089495
242	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6135025539255498
243	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9077398427085874
244	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9641504730837956
245	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	1.0
246	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9390947288091592
247	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6554717128856057
248	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7777562962035749
249	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.1680683829723687
250	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8634066656623447
251	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8159450213446455
252	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5870380915024086
253	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7065253307905444
254	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.298366612323084
255	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.253152637121658
256	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4836466760600097
257	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5587865394536297
258	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7976984408669036
259	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9659222652408344
260	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5448427393727611
261	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3643653708634142
262	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6744239547524876
263	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5412198590323585
264	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5687862691597242
265	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7760496645058538
266	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.734049256072336
267	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7243805207241137
268	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4850268797738262
269	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.531637437563818
270	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2687080396243822
271	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5781788817553074
272	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6144036411028301
273	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3029305622394893
274	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6625693508777685
275	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9341069242348866
276	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5990287414183796
277	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7474247585855945
278	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	1.0
279	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4367162973561533
280	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8782974166860124
281	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3827135999717381
282	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.1195255272654681
283	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9829600109202734
284	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2091502143742448
285	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5601121193455024
286	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7229181109627234
287	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8215035264318937
288	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5638187316803146
289	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8229010370933257
290	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3017046756629593
291	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5625813830402704
292	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5247482689310952
293	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9239949331570242
294	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9559794595434924
295	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5953451119523178
296	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2698428914160703
297	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5775495143776075
298	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.552136930499378
299	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6194163188282579
300	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6129843314052933
301	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9317619733695768
302	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7268878506543183
303	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2403071795550377
304	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5309399254382603
305	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7636544681638451
306	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5436333219692279
307	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.350206526840577
308	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8799696767443576
309	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3217193124094086
310	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6701823647955364
311	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4962598717188508
312	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5221687948941026
313	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8365458754045785
314	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3079727369995529
315	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8766344999616608
316	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.734672648643104
317	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.552136930499378
318	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8478722625323963
319	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.908093277557696
320	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5781788817553074
321	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.996375720838755
322	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2198766067629398
323	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7391132369561568
324	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3597570948165683
325	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7316517100460092
326	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8753957748096749
327	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6841731988774393
328	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3179956950000712
329	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7443164958215182
330	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7156355792387067
331	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5949247780608334
332	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2452496812658345
333	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8642294800914484
334	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7738761444694273
