	sub_rate	variable	value	set
2778	1	397	0.8155	"MinTEs Reduced
Templates (RTs) on
the training set"
2779	Dynamic SR	398	0.8616	"MinTEs Reduced
Templates (RTs) on
the training set"
2780	0.05	398	0.8321	"MinTEs Reduced
Templates (RTs) on
the training set"
2781	0.15	398	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
2782	0.25	398	0.8484	"MinTEs Reduced
Templates (RTs) on
the training set"
2783	0.5	398	0.8494	"MinTEs Reduced
Templates (RTs) on
the training set"
2784	0.75	398	0.8429	"MinTEs Reduced
Templates (RTs) on
the training set"
2785	1	398	0.819	"MinTEs Reduced
Templates (RTs) on
the training set"
2786	Dynamic SR	399	0.8574	"MinTEs Reduced
Templates (RTs) on
the training set"
2787	0.05	399	0.8312	"MinTEs Reduced
Templates (RTs) on
the training set"
2788	0.15	399	0.8399	"MinTEs Reduced
Templates (RTs) on
the training set"
2789	0.25	399	0.841	"MinTEs Reduced
Templates (RTs) on
the training set"
2790	0.5	399	0.8353	"MinTEs Reduced
Templates (RTs) on
the training set"
2791	0.75	399	0.8363	"MinTEs Reduced
Templates (RTs) on
the training set"
2792	1	399	0.8227	"MinTEs Reduced
Templates (RTs) on
the training set"
2793	Dynamic SR	400	0.8461	"MinTEs Reduced
Templates (RTs) on
the training set"
2794	0.05	400	0.8253	"MinTEs Reduced
Templates (RTs) on
the training set"
2795	0.15	400	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
2796	0.25	400	0.8158	"MinTEs Reduced
Templates (RTs) on
the training set"
2797	0.5	400	0.8158	"MinTEs Reduced
Templates (RTs) on
the training set"
2798	0.75	400	0.8158	"MinTEs Reduced
Templates (RTs) on
the training set"
2799	1	400	0.8158	"MinTEs Reduced
Templates (RTs) on
the training set"
2800	Dynamic SR	401	0.8716	"MinTEs Reduced
Templates (RTs) on
the training set"
2801	0.05	401	0.8523	"MinTEs Reduced
Templates (RTs) on
the training set"
2802	0.15	401	0.8264	"MinTEs Reduced
Templates (RTs) on
the training set"
2803	0.25	401	0.8436	"MinTEs Reduced
Templates (RTs) on
the training set"
2804	0.5	401	0.8396	"MinTEs Reduced
Templates (RTs) on
the training set"
2805	0.75	401	0.8202	"MinTEs Reduced
Templates (RTs) on
the training set"
2806	1	401	0.8297	"MinTEs Reduced
Templates (RTs) on
the training set"
2807	Dynamic SR	402	0.8421	"MinTEs Reduced
Templates (RTs) on
the training set"
2808	0.05	402	0.8306	"MinTEs Reduced
Templates (RTs) on
the training set"
2809	0.15	402	0.8215	"MinTEs Reduced
Templates (RTs) on
the training set"
2810	0.25	402	0.8314	"MinTEs Reduced
Templates (RTs) on
the training set"
2811	0.5	402	0.8376	"MinTEs Reduced
Templates (RTs) on
the training set"
2812	0.75	402	0.8394	"MinTEs Reduced
Templates (RTs) on
the training set"
2813	1	402	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
2814	Dynamic SR	403	0.8506	"MinTEs Reduced
Templates (RTs) on
the training set"
2815	0.05	403	0.831	"MinTEs Reduced
Templates (RTs) on
the training set"
2816	0.15	403	0.835	"MinTEs Reduced
Templates (RTs) on
the training set"
2817	0.25	403	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
2818	0.5	403	0.8497	"MinTEs Reduced
Templates (RTs) on
the training set"
2819	0.75	403	0.835	"MinTEs Reduced
Templates (RTs) on
the training set"
2820	1	403	0.8207	"MinTEs Reduced
Templates (RTs) on
the training set"
2821	Dynamic SR	404	0.8593	"MinTEs Reduced
Templates (RTs) on
the training set"
2822	0.05	404	0.8496	"MinTEs Reduced
Templates (RTs) on
the training set"
2823	0.15	404	0.8295	"MinTEs Reduced
Templates (RTs) on
the training set"
2824	0.25	404	0.8084	"MinTEs Reduced
Templates (RTs) on
the training set"
2825	0.5	404	0.8397	"MinTEs Reduced
Templates (RTs) on
the training set"
2826	0.75	404	0.8113	"MinTEs Reduced
Templates (RTs) on
the training set"
2827	1	404	0.8233	"MinTEs Reduced
Templates (RTs) on
the training set"
2828	Dynamic SR	405	0.8589	"MinTEs Reduced
Templates (RTs) on
the training set"
2829	0.05	405	0.8583	"MinTEs Reduced
Templates (RTs) on
the training set"
2830	0.15	405	0.8264	"MinTEs Reduced
Templates (RTs) on
the training set"
2831	0.25	405	0.8171	"MinTEs Reduced
Templates (RTs) on
the training set"
2832	0.5	405	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
2833	0.75	405	0.8438	"MinTEs Reduced
Templates (RTs) on
the training set"
2834	1	405	0.8355	"MinTEs Reduced
Templates (RTs) on
the training set"
2835	Dynamic SR	406	0.8576	"MinTEs Reduced
Templates (RTs) on
the training set"
2836	0.05	406	0.8167	"MinTEs Reduced
Templates (RTs) on
the training set"
2837	0.15	406	0.8295	"MinTEs Reduced
Templates (RTs) on
the training set"
2838	0.25	406	0.8324	"MinTEs Reduced
Templates (RTs) on
the training set"
2839	0.5	406	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
2840	0.75	406	0.8402	"MinTEs Reduced
Templates (RTs) on
the training set"
2841	1	406	0.8166	"MinTEs Reduced
Templates (RTs) on
the training set"
2842	Dynamic SR	407	0.8639	"MinTEs Reduced
Templates (RTs) on
the training set"
2843	0.05	407	0.8223	"MinTEs Reduced
Templates (RTs) on
the training set"
2844	0.15	407	0.8263	"MinTEs Reduced
Templates (RTs) on
the training set"
2845	0.25	407	0.8414	"MinTEs Reduced
Templates (RTs) on
the training set"
2846	0.5	407	0.84	"MinTEs Reduced
Templates (RTs) on
the training set"
2847	0.75	407	0.8317	"MinTEs Reduced
Templates (RTs) on
the training set"
2848	1	407	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
2849	Dynamic SR	408	0.8566	"MinTEs Reduced
Templates (RTs) on
the training set"
2850	0.05	408	0.838	"MinTEs Reduced
Templates (RTs) on
the training set"
2851	0.15	408	0.8395	"MinTEs Reduced
Templates (RTs) on
the training set"
2852	0.25	408	0.8283	"MinTEs Reduced
Templates (RTs) on
the training set"
2853	0.5	408	0.8144	"MinTEs Reduced
Templates (RTs) on
the training set"
2854	0.75	408	0.8272	"MinTEs Reduced
Templates (RTs) on
the training set"
2855	1	408	0.8294	"MinTEs Reduced
Templates (RTs) on
the training set"
2856	Dynamic SR	409	0.8567	"MinTEs Reduced
Templates (RTs) on
the training set"
2857	0.05	409	0.8432	"MinTEs Reduced
Templates (RTs) on
the training set"
2858	0.15	409	0.8343	"MinTEs Reduced
Templates (RTs) on
the training set"
2859	0.25	409	0.8149	"MinTEs Reduced
Templates (RTs) on
the training set"
2860	0.5	409	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
2861	0.75	409	0.8458	"MinTEs Reduced
Templates (RTs) on
the training set"
2862	1	409	0.8368	"MinTEs Reduced
Templates (RTs) on
the training set"
2863	Dynamic SR	410	0.8485	"MinTEs Reduced
Templates (RTs) on
the training set"
2864	0.05	410	0.8615	"MinTEs Reduced
Templates (RTs) on
the training set"
2865	0.15	410	0.8376	"MinTEs Reduced
Templates (RTs) on
the training set"
2866	0.25	410	0.8479	"MinTEs Reduced
Templates (RTs) on
the training set"
2867	0.5	410	0.8446	"MinTEs Reduced
Templates (RTs) on
the training set"
2868	0.75	410	0.8524	"MinTEs Reduced
Templates (RTs) on
the training set"
2869	1	410	0.8153	"MinTEs Reduced
Templates (RTs) on
the training set"
2870	Dynamic SR	411	0.8609	"MinTEs Reduced
Templates (RTs) on
the training set"
2871	0.05	411	0.8308	"MinTEs Reduced
Templates (RTs) on
the training set"
2872	0.15	411	0.8349	"MinTEs Reduced
Templates (RTs) on
the training set"
2873	0.25	411	0.8393	"MinTEs Reduced
Templates (RTs) on
the training set"
2874	0.5	411	0.8196	"MinTEs Reduced
Templates (RTs) on
the training set"
2875	0.75	411	0.8316	"MinTEs Reduced
Templates (RTs) on
the training set"
2876	1	411	0.8215	"MinTEs Reduced
Templates (RTs) on
the training set"
2877	Dynamic SR	412	0.8627	"MinTEs Reduced
Templates (RTs) on
the training set"
2878	0.05	412	0.8368	"MinTEs Reduced
Templates (RTs) on
the training set"
2879	0.15	412	0.8244	"MinTEs Reduced
Templates (RTs) on
the training set"
2880	0.25	412	0.84	"MinTEs Reduced
Templates (RTs) on
the training set"
2881	0.5	412	0.8252	"MinTEs Reduced
Templates (RTs) on
the training set"
2882	0.75	412	0.8479	"MinTEs Reduced
Templates (RTs) on
the training set"
2883	1	412	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
2884	Dynamic SR	413	0.8688	"MinTEs Reduced
Templates (RTs) on
the training set"
2885	0.05	413	0.8285	"MinTEs Reduced
Templates (RTs) on
the training set"
2886	0.15	413	0.8414	"MinTEs Reduced
Templates (RTs) on
the training set"
2887	0.25	413	0.8361	"MinTEs Reduced
Templates (RTs) on
the training set"
2888	0.5	413	0.8392	"MinTEs Reduced
Templates (RTs) on
the training set"
2889	0.75	413	0.8478	"MinTEs Reduced
Templates (RTs) on
the training set"
2890	1	413	0.8183	"MinTEs Reduced
Templates (RTs) on
the training set"
2891	Dynamic SR	414	0.8508	"MinTEs Reduced
Templates (RTs) on
the training set"
2892	0.05	414	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
2893	0.15	414	0.8473	"MinTEs Reduced
Templates (RTs) on
the training set"
2894	0.25	414	0.8479	"MinTEs Reduced
Templates (RTs) on
the training set"
2895	0.5	414	0.8384	"MinTEs Reduced
Templates (RTs) on
the training set"
2896	0.75	414	0.8343	"MinTEs Reduced
Templates (RTs) on
the training set"
2897	1	414	0.8229	"MinTEs Reduced
Templates (RTs) on
the training set"
2898	Dynamic SR	415	0.8542	"MinTEs Reduced
Templates (RTs) on
the training set"
2899	0.05	415	0.838	"MinTEs Reduced
Templates (RTs) on
the training set"
2900	0.15	415	0.8284	"MinTEs Reduced
Templates (RTs) on
the training set"
2901	0.25	415	0.817	"MinTEs Reduced
Templates (RTs) on
the training set"
2902	0.5	415	0.8438	"MinTEs Reduced
Templates (RTs) on
the training set"
2903	0.75	415	0.8409	"MinTEs Reduced
Templates (RTs) on
the training set"
2904	1	415	0.8151	"MinTEs Reduced
Templates (RTs) on
the training set"
2905	Dynamic SR	416	0.8561	"MinTEs Reduced
Templates (RTs) on
the training set"
2906	0.05	416	0.8419	"MinTEs Reduced
Templates (RTs) on
the training set"
2907	0.15	416	0.8468	"MinTEs Reduced
Templates (RTs) on
the training set"
2908	0.25	416	0.8563	"MinTEs Reduced
Templates (RTs) on
the training set"
2909	0.5	416	0.8332	"MinTEs Reduced
Templates (RTs) on
the training set"
2910	0.75	416	0.8414	"MinTEs Reduced
Templates (RTs) on
the training set"
2911	1	416	0.8332	"MinTEs Reduced
Templates (RTs) on
the training set"
2912	Dynamic SR	417	0.8497	"MinTEs Reduced
Templates (RTs) on
the training set"
2913	0.05	417	0.8473	"MinTEs Reduced
Templates (RTs) on
the training set"
2914	0.15	417	0.844	"MinTEs Reduced
Templates (RTs) on
the training set"
2915	0.25	417	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
2916	0.5	417	0.8374	"MinTEs Reduced
Templates (RTs) on
the training set"
2917	0.75	417	0.8217	"MinTEs Reduced
Templates (RTs) on
the training set"
2918	1	417	0.8361	"MinTEs Reduced
Templates (RTs) on
the training set"
2919	Dynamic SR	418	0.8516	"MinTEs Reduced
Templates (RTs) on
the training set"
2920	0.05	418	0.8523	"MinTEs Reduced
Templates (RTs) on
the training set"
2921	0.15	418	0.8235	"MinTEs Reduced
Templates (RTs) on
the training set"
2922	0.25	418	0.8514	"MinTEs Reduced
Templates (RTs) on
the training set"
2923	0.5	418	0.8438	"MinTEs Reduced
Templates (RTs) on
the training set"
2924	0.75	418	0.8309	"MinTEs Reduced
Templates (RTs) on
the training set"
2925	1	418	0.8516	"MinTEs Reduced
Templates (RTs) on
the training set"
2926	Dynamic SR	419	0.8616	"MinTEs Reduced
Templates (RTs) on
the training set"
2927	0.05	419	0.8345	"MinTEs Reduced
Templates (RTs) on
the training set"
2928	0.15	419	0.8462	"MinTEs Reduced
Templates (RTs) on
the training set"
2929	0.25	419	0.8359	"MinTEs Reduced
Templates (RTs) on
the training set"
2930	0.5	419	0.8361	"MinTEs Reduced
Templates (RTs) on
the training set"
2931	0.75	419	0.8322	"MinTEs Reduced
Templates (RTs) on
the training set"
2932	1	419	0.8241	"MinTEs Reduced
Templates (RTs) on
the training set"
2933	Dynamic SR	420	0.8459	"MinTEs Reduced
Templates (RTs) on
the training set"
2934	0.05	420	0.8404	"MinTEs Reduced
Templates (RTs) on
the training set"
2935	0.15	420	0.8221	"MinTEs Reduced
Templates (RTs) on
the training set"
2936	0.25	420	0.8374	"MinTEs Reduced
Templates (RTs) on
the training set"
2937	0.5	420	0.8332	"MinTEs Reduced
Templates (RTs) on
the training set"
2938	0.75	420	0.8357	"MinTEs Reduced
Templates (RTs) on
the training set"
2939	1	420	0.8285	"MinTEs Reduced
Templates (RTs) on
the training set"
2940	Dynamic SR	421	0.8598	"MinTEs Reduced
Templates (RTs) on
the training set"
2941	0.05	421	0.8309	"MinTEs Reduced
Templates (RTs) on
the training set"
2942	0.15	421	0.8174	"MinTEs Reduced
Templates (RTs) on
the training set"
2943	0.25	421	0.8226	"MinTEs Reduced
Templates (RTs) on
the training set"
2944	0.5	421	0.8295	"MinTEs Reduced
Templates (RTs) on
the training set"
2945	0.75	421	0.8134	"MinTEs Reduced
Templates (RTs) on
the training set"
2946	1	421	0.827	"MinTEs Reduced
Templates (RTs) on
the training set"
2947	Dynamic SR	422	0.8691	"MinTEs Reduced
Templates (RTs) on
the training set"
2948	0.05	422	0.8349	"MinTEs Reduced
Templates (RTs) on
the training set"
2949	0.15	422	0.8389	"MinTEs Reduced
Templates (RTs) on
the training set"
2950	0.25	422	0.8391	"MinTEs Reduced
Templates (RTs) on
the training set"
2951	0.5	422	0.8194	"MinTEs Reduced
Templates (RTs) on
the training set"
2952	0.75	422	0.818	"MinTEs Reduced
Templates (RTs) on
the training set"
2953	1	422	0.8139	"MinTEs Reduced
Templates (RTs) on
the training set"
2954	Dynamic SR	423	0.8416	"MinTEs Reduced
Templates (RTs) on
the training set"
2955	0.05	423	0.8513	"MinTEs Reduced
Templates (RTs) on
the training set"
2956	0.15	423	0.8357	"MinTEs Reduced
Templates (RTs) on
the training set"
2957	0.25	423	0.8451	"MinTEs Reduced
Templates (RTs) on
the training set"
2958	0.5	423	0.8329	"MinTEs Reduced
Templates (RTs) on
the training set"
2959	0.75	423	0.8287	"MinTEs Reduced
Templates (RTs) on
the training set"
2960	1	423	0.8227	"MinTEs Reduced
Templates (RTs) on
the training set"
2961	Dynamic SR	424	0.8521	"MinTEs Reduced
Templates (RTs) on
the training set"
2962	0.05	424	0.844	"MinTEs Reduced
Templates (RTs) on
the training set"
2963	0.15	424	0.8376	"MinTEs Reduced
Templates (RTs) on
the training set"
2964	0.25	424	0.8466	"MinTEs Reduced
Templates (RTs) on
the training set"
2965	0.5	424	0.849	"MinTEs Reduced
Templates (RTs) on
the training set"
2966	0.75	424	0.8244	"MinTEs Reduced
Templates (RTs) on
the training set"
2967	1	424	0.8314	"MinTEs Reduced
Templates (RTs) on
the training set"
2968	Dynamic SR	425	0.8522	"MinTEs Reduced
Templates (RTs) on
the training set"
2969	0.05	425	0.8422	"MinTEs Reduced
Templates (RTs) on
the training set"
2970	0.15	425	0.8285	"MinTEs Reduced
Templates (RTs) on
the training set"
2971	0.25	425	0.8481	"MinTEs Reduced
Templates (RTs) on
the training set"
2972	0.5	425	0.8269	"MinTEs Reduced
Templates (RTs) on
the training set"
2973	0.75	425	0.8374	"MinTEs Reduced
Templates (RTs) on
the training set"
2974	1	425	0.834	"MinTEs Reduced
Templates (RTs) on
the training set"
2975	Dynamic SR	426	0.8476	"MinTEs Reduced
Templates (RTs) on
the training set"
2976	0.05	426	0.7923	"MinTEs Reduced
Templates (RTs) on
the training set"
2977	0.15	426	0.848	"MinTEs Reduced
Templates (RTs) on
the training set"
2978	0.25	426	0.8289	"MinTEs Reduced
Templates (RTs) on
the training set"
2979	0.5	426	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
2980	0.75	426	0.8262	"MinTEs Reduced
Templates (RTs) on
the training set"
2981	1	426	0.8305	"MinTEs Reduced
Templates (RTs) on
the training set"
2982	Dynamic SR	427	0.8595	"MinTEs Reduced
Templates (RTs) on
the training set"
2983	0.05	427	0.8348	"MinTEs Reduced
Templates (RTs) on
the training set"
2984	0.15	427	0.8238	"MinTEs Reduced
Templates (RTs) on
the training set"
2985	0.25	427	0.8448	"MinTEs Reduced
Templates (RTs) on
the training set"
2986	0.5	427	0.8466	"MinTEs Reduced
Templates (RTs) on
the training set"
2987	0.75	427	0.8387	"MinTEs Reduced
Templates (RTs) on
the training set"
2988	1	427	0.8162	"MinTEs Reduced
Templates (RTs) on
the training set"
2989	Dynamic SR	428	0.8514	"MinTEs Reduced
Templates (RTs) on
the training set"
2990	0.05	428	0.82	"MinTEs Reduced
Templates (RTs) on
the training set"
2991	0.15	428	0.8116	"MinTEs Reduced
Templates (RTs) on
the training set"
2992	0.25	428	0.8116	"MinTEs Reduced
Templates (RTs) on
the training set"
2993	0.5	428	0.82	"MinTEs Reduced
Templates (RTs) on
the training set"
2994	0.75	428	0.8238	"MinTEs Reduced
Templates (RTs) on
the training set"
2995	1	428	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
2996	Dynamic SR	429	0.8655	"MinTEs Reduced
Templates (RTs) on
the training set"
2997	0.05	429	0.83	"MinTEs Reduced
Templates (RTs) on
the training set"
2998	0.15	429	0.8359	"MinTEs Reduced
Templates (RTs) on
the training set"
2999	0.25	429	0.8222	"MinTEs Reduced
Templates (RTs) on
the training set"
3000	0.5	429	0.8355	"MinTEs Reduced
Templates (RTs) on
the training set"
3001	0.75	429	0.8222	"MinTEs Reduced
Templates (RTs) on
the training set"
3002	1	429	0.8222	"MinTEs Reduced
Templates (RTs) on
the training set"
3003	Dynamic SR	430	0.8574	"MinTEs Reduced
Templates (RTs) on
the training set"
3004	0.05	430	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
3005	0.15	430	0.8476	"MinTEs Reduced
Templates (RTs) on
the training set"
3006	0.25	430	0.832	"MinTEs Reduced
Templates (RTs) on
the training set"
3007	0.5	430	0.8407	"MinTEs Reduced
Templates (RTs) on
the training set"
3008	0.75	430	0.8327	"MinTEs Reduced
Templates (RTs) on
the training set"
3009	1	430	0.823	"MinTEs Reduced
Templates (RTs) on
the training set"
3010	Dynamic SR	431	0.8532	"MinTEs Reduced
Templates (RTs) on
the training set"
3011	0.05	431	0.8262	"MinTEs Reduced
Templates (RTs) on
the training set"
3012	0.15	431	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
3013	0.25	431	0.8236	"MinTEs Reduced
Templates (RTs) on
the training set"
3014	0.5	431	0.8289	"MinTEs Reduced
Templates (RTs) on
the training set"
3015	0.75	431	0.8354	"MinTEs Reduced
Templates (RTs) on
the training set"
3016	1	431	0.8255	"MinTEs Reduced
Templates (RTs) on
the training set"
3017	Dynamic SR	432	0.8527	"MinTEs Reduced
Templates (RTs) on
the training set"
3018	0.05	432	0.8371	"MinTEs Reduced
Templates (RTs) on
the training set"
3019	0.15	432	0.8226	"MinTEs Reduced
Templates (RTs) on
the training set"
3020	0.25	432	0.8485	"MinTEs Reduced
Templates (RTs) on
the training set"
3021	0.5	432	0.8342	"MinTEs Reduced
Templates (RTs) on
the training set"
3022	0.75	432	0.8443	"MinTEs Reduced
Templates (RTs) on
the training set"
3023	1	432	0.8402	"MinTEs Reduced
Templates (RTs) on
the training set"
3024	Dynamic SR	433	0.847	"MinTEs Reduced
Templates (RTs) on
the training set"
3025	0.05	433	0.8217	"MinTEs Reduced
Templates (RTs) on
the training set"
3026	0.15	433	0.837	"MinTEs Reduced
Templates (RTs) on
the training set"
3027	0.25	433	0.835	"MinTEs Reduced
Templates (RTs) on
the training set"
3028	0.5	433	0.8473	"MinTEs Reduced
Templates (RTs) on
the training set"
3029	0.75	433	0.8348	"MinTEs Reduced
Templates (RTs) on
the training set"
3030	1	433	0.8128	"MinTEs Reduced
Templates (RTs) on
the training set"
3031	Dynamic SR	434	0.835	"MinTEs Reduced
Templates (RTs) on
the training set"
3032	0.05	434	0.8166	"MinTEs Reduced
Templates (RTs) on
the training set"
3033	0.15	434	0.8406	"MinTEs Reduced
Templates (RTs) on
the training set"
3034	0.25	434	0.8346	"MinTEs Reduced
Templates (RTs) on
the training set"
3035	0.5	434	0.8203	"MinTEs Reduced
Templates (RTs) on
the training set"
3036	0.75	434	0.8234	"MinTEs Reduced
Templates (RTs) on
the training set"
3037	1	434	0.8234	"MinTEs Reduced
Templates (RTs) on
the training set"
3038	Dynamic SR	435	0.8679	"MinTEs Reduced
Templates (RTs) on
the training set"
3039	0.05	435	0.842	"MinTEs Reduced
Templates (RTs) on
the training set"
3040	0.15	435	0.8298	"MinTEs Reduced
Templates (RTs) on
the training set"
3041	0.25	435	0.8367	"MinTEs Reduced
Templates (RTs) on
the training set"
3042	0.5	435	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
3043	0.75	435	0.8208	"MinTEs Reduced
Templates (RTs) on
the training set"
3044	1	435	0.8292	"MinTEs Reduced
Templates (RTs) on
the training set"
3045	Dynamic SR	436	0.8481	"MinTEs Reduced
Templates (RTs) on
the training set"
3046	0.05	436	0.8421	"MinTEs Reduced
Templates (RTs) on
the training set"
3047	0.15	436	0.8316	"MinTEs Reduced
Templates (RTs) on
the training set"
3048	0.25	436	0.8151	"MinTEs Reduced
Templates (RTs) on
the training set"
3049	0.5	436	0.8461	"MinTEs Reduced
Templates (RTs) on
the training set"
3050	0.75	436	0.8429	"MinTEs Reduced
Templates (RTs) on
the training set"
3051	1	436	0.8151	"MinTEs Reduced
Templates (RTs) on
the training set"
3052	Dynamic SR	437	0.8401	"MinTEs Reduced
Templates (RTs) on
the training set"
3053	0.05	437	0.8601	"MinTEs Reduced
Templates (RTs) on
the training set"
3054	0.15	437	0.8353	"MinTEs Reduced
Templates (RTs) on
the training set"
3055	0.25	437	0.8249	"MinTEs Reduced
Templates (RTs) on
the training set"
3056	0.5	437	0.8296	"MinTEs Reduced
Templates (RTs) on
the training set"
3057	0.75	437	0.8118	"MinTEs Reduced
Templates (RTs) on
the training set"
3058	1	437	0.8292	"MinTEs Reduced
Templates (RTs) on
the training set"
3059	Dynamic SR	438	0.8381	"MinTEs Reduced
Templates (RTs) on
the training set"
3060	0.05	438	0.8468	"MinTEs Reduced
Templates (RTs) on
the training set"
3061	0.15	438	0.8308	"MinTEs Reduced
Templates (RTs) on
the training set"
3062	0.25	438	0.8308	"MinTEs Reduced
Templates (RTs) on
the training set"
3063	0.5	438	0.8308	"MinTEs Reduced
Templates (RTs) on
the training set"
3064	0.75	438	0.8308	"MinTEs Reduced
Templates (RTs) on
the training set"
3065	1	438	0.8348	"MinTEs Reduced
Templates (RTs) on
the training set"
3066	Dynamic SR	439	0.8635	"MinTEs Reduced
Templates (RTs) on
the training set"
3067	0.05	439	0.8521	"MinTEs Reduced
Templates (RTs) on
the training set"
3068	0.15	439	0.8353	"MinTEs Reduced
Templates (RTs) on
the training set"
3069	0.25	439	0.8417	"MinTEs Reduced
Templates (RTs) on
the training set"
3070	0.5	439	0.8422	"MinTEs Reduced
Templates (RTs) on
the training set"
3071	0.75	439	0.8301	"MinTEs Reduced
Templates (RTs) on
the training set"
3072	1	439	0.834	"MinTEs Reduced
Templates (RTs) on
the training set"
3073	Dynamic SR	440	0.8684	"MinTEs Reduced
Templates (RTs) on
the training set"
3074	0.05	440	0.8314	"MinTEs Reduced
Templates (RTs) on
the training set"
3075	0.15	440	0.8524	"MinTEs Reduced
Templates (RTs) on
the training set"
3076	0.25	440	0.8342	"MinTEs Reduced
Templates (RTs) on
the training set"
3077	0.5	440	0.8209	"MinTEs Reduced
Templates (RTs) on
the training set"
3078	0.75	440	0.8401	"MinTEs Reduced
Templates (RTs) on
the training set"
3079	1	440	0.8258	"MinTEs Reduced
Templates (RTs) on
the training set"
3080	Dynamic SR	441	0.8625	"MinTEs Reduced
Templates (RTs) on
the training set"
3081	0.05	441	0.8236	"MinTEs Reduced
Templates (RTs) on
the training set"
3082	0.15	441	0.8121	"MinTEs Reduced
Templates (RTs) on
the training set"
3083	0.25	441	0.833	"MinTEs Reduced
Templates (RTs) on
the training set"
3084	0.5	441	0.8293	"MinTEs Reduced
Templates (RTs) on
the training set"
3085	0.75	441	0.8342	"MinTEs Reduced
Templates (RTs) on
the training set"
3086	1	441	0.8291	"MinTEs Reduced
Templates (RTs) on
the training set"
3087	Dynamic SR	442	0.861	"MinTEs Reduced
Templates (RTs) on
the training set"
3088	0.05	442	0.8496	"MinTEs Reduced
Templates (RTs) on
the training set"
3089	0.15	442	0.8159	"MinTEs Reduced
Templates (RTs) on
the training set"
3090	0.25	442	0.8192	"MinTEs Reduced
Templates (RTs) on
the training set"
3091	0.5	442	0.8263	"MinTEs Reduced
Templates (RTs) on
the training set"
3092	0.75	442	0.8079	"MinTEs Reduced
Templates (RTs) on
the training set"
3093	1	442	0.8259	"MinTEs Reduced
Templates (RTs) on
the training set"
3094	Dynamic SR	443	0.8515	"MinTEs Reduced
Templates (RTs) on
the training set"
3095	0.05	443	0.8297	"MinTEs Reduced
Templates (RTs) on
the training set"
3096	0.15	443	0.8311	"MinTEs Reduced
Templates (RTs) on
the training set"
3097	0.25	443	0.8479	"MinTEs Reduced
Templates (RTs) on
the training set"
3098	0.5	443	0.8375	"MinTEs Reduced
Templates (RTs) on
the training set"
3099	0.75	443	0.8255	"MinTEs Reduced
Templates (RTs) on
the training set"
3100	1	443	0.8249	"MinTEs Reduced
Templates (RTs) on
the training set"
3101	Dynamic SR	444	0.8458	"MinTEs Reduced
Templates (RTs) on
the training set"
3102	0.05	444	0.8075	"MinTEs Reduced
Templates (RTs) on
the training set"
3103	0.15	444	0.8441	"MinTEs Reduced
Templates (RTs) on
the training set"
3104	0.25	444	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
3105	0.5	444	0.8336	"MinTEs Reduced
Templates (RTs) on
the training set"
3106	0.75	444	0.8205	"MinTEs Reduced
Templates (RTs) on
the training set"
3107	1	444	0.8042	"MinTEs Reduced
Templates (RTs) on
the training set"
3108	Dynamic SR	445	0.862	"MinTEs Reduced
Templates (RTs) on
the training set"
3109	0.05	445	0.8536	"MinTEs Reduced
Templates (RTs) on
the training set"
3110	0.15	445	0.8109	"MinTEs Reduced
Templates (RTs) on
the training set"
3111	0.25	445	0.8254	"MinTEs Reduced
Templates (RTs) on
the training set"
3112	0.5	445	0.8219	"MinTEs Reduced
Templates (RTs) on
the training set"
3113	0.75	445	0.8222	"MinTEs Reduced
Templates (RTs) on
the training set"
3114	1	445	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
3115	Dynamic SR	446	0.8384	"MinTEs Reduced
Templates (RTs) on
the training set"
3116	0.05	446	0.8436	"MinTEs Reduced
Templates (RTs) on
the training set"
3117	0.15	446	0.8374	"MinTEs Reduced
Templates (RTs) on
the training set"
3118	0.25	446	0.8212	"MinTEs Reduced
Templates (RTs) on
the training set"
3119	0.5	446	0.8212	"MinTEs Reduced
Templates (RTs) on
the training set"
3120	0.75	446	0.8207	"MinTEs Reduced
Templates (RTs) on
the training set"
3121	1	446	0.8183	"MinTEs Reduced
Templates (RTs) on
the training set"
3122	Dynamic SR	447	0.8704	"MinTEs Reduced
Templates (RTs) on
the training set"
3123	0.05	447	0.8395	"MinTEs Reduced
Templates (RTs) on
the training set"
3124	0.15	447	0.8354	"MinTEs Reduced
Templates (RTs) on
the training set"
3125	0.25	447	0.8332	"MinTEs Reduced
Templates (RTs) on
the training set"
